manufacturer,model,displ,year,cyl,trans,drv,city,highway,fl,category,avg
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact,23.5
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact,25.0
audi,a4,2.0,2008,4,manual(m6),f,20,31,p,compact,25.5
audi,a4,2.0,2008,4,auto(av),f,21,30,p,compact,25.5
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact,21.0
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact,22.0
audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact,22.5
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact,22.0
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact,20.5
audi,a4 quattro,2.0,2008,4,manual(m6),4,20,28,p,compact,24.0
audi,a4 quattro,2.0,2008,4,auto(s6),4,19,27,p,compact,23.0
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact,20.0
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact,21.0
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact,21.0
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compact,20.0
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize,19.5
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize,21.0
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize,19.5
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,17.0
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv,13.0
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,17.0
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv,15.0
chevrolet,c1500 suburban 2wd,6.0,2008,8,auto(l4),r,12,17,r,suv,14.5
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater,21.0
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater,19.0
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater,21.0
chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater,20.0
chevrolet,corvette,7.0,2008,8,manual(m6),r,15,24,p,2seater,19.5
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv,16.5
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv,12.5
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv,13.0
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv,15.5
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize,23.0
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize,26.0
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize,22.0
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize,23.5
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize,21.5
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan,21.0
dodge,caravan 2wd,3.0,1999,6,auto(l4),f,17,24,r,minivan,20.5
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan,19.0
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan,19.0
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,20.5
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,20.5
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan,14.0
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan,18.5
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan,18.0
dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,r,minivan,19.5
dodge,caravan 2wd,4.0,2008,6,auto(l6),f,16,23,r,minivan,19.5
dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,r,pickup,17.0
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup,16.0
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup,15.0
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup,15.5
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup,16.5
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup,16.5
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup,10.5
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup,14.0
dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup,13.0
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv,15.0
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv,15.0
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv,10.5
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv,15.0
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv,13.5
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv,15.5
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv,13.0
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup,14.0
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup,10.5
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup,15.0
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup,15.0
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup,14.0
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup,10.5
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup,13.0
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup,13.5
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup,15.0
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup,13.0
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv,14.0
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv,14.0
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv,15.0
ford,explorer 4wd,4.0,1999,6,auto(l5),4,14,17,r,suv,15.5
ford,explorer 4wd,4.0,1999,6,manual(m5),4,15,19,r,suv,17.0
ford,explorer 4wd,4.0,1999,6,auto(l5),4,14,17,r,suv,15.5
ford,explorer 4wd,4.0,2008,6,auto(l5),4,13,19,r,suv,16.0
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv,16.0
ford,explorer 4wd,5.0,1999,8,auto(l4),4,13,17,r,suv,15.0
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup,15.5
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup,15.5
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup,14.5
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup,14.5
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup,15.0
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup,13.0
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup,15.0
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact,22.0
ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact,21.5
ford,mustang,4.0,2008,6,manual(m5),r,17,26,r,subcompact,21.5
ford,mustang,4.0,2008,6,auto(l5),r,16,24,r,subcompact,20.0
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact,18.0
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact,18.5
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact,19.0
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact,18.5
ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact,17.0
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact,30.5
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact,28.0
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact,28.5
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact,26.0
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact,28.0
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact,30.0
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact,30.5
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact,30.0
honda,civic,2.0,2008,4,manual(m6),f,21,29,p,subcompact,25.0
hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize,22.0
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize,22.5
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize,25.5
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize,26.0
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize,22.0
hyundai,sonata,2.5,1999,6,manual(m5),f,18,26,r,midsize,22.0
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize,23.5
hyundai,tiburon,2.0,1999,4,auto(l4),f,19,26,r,subcompact,22.5
hyundai,tiburon,2.0,1999,4,manual(m5),f,19,29,r,subcompact,24.0
hyundai,tiburon,2.0,2008,4,manual(m5),f,20,28,r,subcompact,24.0
hyundai,tiburon,2.0,2008,4,auto(l4),f,20,27,r,subcompact,23.5
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact,20.5
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact,20.0
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact,20.5
jeep,grand cherokee 4wd,3.0,2008,6,auto(l5),4,17,22,d,suv,19.5
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv,17.0
jeep,grand cherokee 4wd,4.0,1999,6,auto(l4),4,15,20,r,suv,17.5
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv,15.5
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv,10.5
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv,16.5
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv,15.5
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv,12.5
land rover,range rover,4.0,1999,8,auto(l4),4,11,15,p,suv,13.0
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv,15.0
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv,15.0
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv,13.0
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv,14.0
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv,13.5
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv,15.0
mercury,mountaineer 4wd,4.0,1999,6,auto(l5),4,14,17,r,suv,15.5
mercury,mountaineer 4wd,4.0,2008,6,auto(l5),4,13,19,r,suv,16.0
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv,16.0
mercury,mountaineer 4wd,5.0,1999,8,auto(l4),4,13,17,r,suv,15.0
nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact,25.0
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact,23.0
nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize,27.0
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize,27.5
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize,23.0
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize,22.5
nissan,maxima,3.0,1999,6,auto(l4),f,18,26,r,midsize,22.0
nissan,maxima,3.0,1999,6,manual(m5),f,19,25,r,midsize,22.0
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize,22.0
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv,15.5
nissan,pathfinder 4wd,3.3,1999,6,manual(m5),4,15,17,r,suv,16.0
nissan,pathfinder 4wd,4.0,2008,6,auto(l5),4,14,20,p,suv,17.0
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv,15.0
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize,22.0
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize,21.0
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize,22.0
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize,23.0
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize,20.5
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv,21.5
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv,21.0
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv,23.5
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv,22.0
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv,23.0
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv,20.5
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact,23.5
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact,22.5
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact,22.5
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact,22.5
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact,22.5
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact,23.5
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact,22.0
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact,23.5
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv,17.5
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv,18.0
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv,17.0
toyota,4runner 4wd,3.4,1999,6,manual(m5),4,15,17,r,suv,16.0
toyota,4runner 4wd,4.0,2008,6,auto(l5),4,16,20,r,suv,18.0
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv,15.5
toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize,25.0
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize,24.0
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize,26.0
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize,26.0
toyota,camry,3.0,1999,6,auto(l4),f,18,26,r,midsize,22.0
toyota,camry,3.0,1999,6,manual(m5),f,18,26,r,midsize,22.0
toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize,23.5
toyota,camry solara,2.2,1999,4,auto(l4),f,21,27,r,compact,24.0
toyota,camry solara,2.2,1999,4,manual(m5),f,21,29,r,compact,25.0
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact,26.0
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact,26.5
toyota,camry solara,3.0,1999,6,auto(l4),f,18,26,r,compact,22.0
toyota,camry solara,3.0,1999,6,manual(m5),f,18,26,r,compact,22.0
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact,22.5
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact,27.0
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact,28.5
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact,30.5
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact,32.5
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact,30.5
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv,13.0
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv,15.5
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup,17.5
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup,18.0
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup,19.5
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup,16.0
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup,17.0
toyota,toyota tacoma 4wd,4.0,2008,6,manual(m6),4,15,18,r,pickup,16.5
toyota,toyota tacoma 4wd,4.0,2008,6,auto(l5),4,16,20,r,pickup,18.0
volkswagen,gti,2.0,1999,4,manual(m5),f,21,29,r,compact,25.0
volkswagen,gti,2.0,1999,4,auto(l4),f,19,26,r,compact,22.5
volkswagen,gti,2.0,2008,4,manual(m6),f,21,29,p,compact,25.0
volkswagen,gti,2.0,2008,4,auto(s6),f,22,29,p,compact,25.5
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact,20.5
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact,38.5
volkswagen,jetta,2.0,1999,4,manual(m5),f,21,29,r,compact,25.0
volkswagen,jetta,2.0,1999,4,auto(l4),f,19,26,r,compact,22.5
volkswagen,jetta,2.0,2008,4,auto(s6),f,22,29,p,compact,25.5
volkswagen,jetta,2.0,2008,4,manual(m6),f,21,29,p,compact,25.0
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact,25.0
volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact,25.0
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact,19.5
volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact,20.5
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact,39.5
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact,35.0
volkswagen,new beetle,2.0,1999,4,manual(m5),f,21,29,r,subcompact,25.0
volkswagen,new beetle,2.0,1999,4,auto(l4),f,19,26,r,subcompact,22.5
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact,24.0
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact,24.5
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize,25.0
volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize,23.5
volkswagen,passat,2.0,2008,4,auto(s6),f,19,28,p,midsize,23.5
volkswagen,passat,2.0,2008,4,manual(m6),f,21,29,p,midsize,25.0
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize,21.0
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize,22.0
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize,21.5
